,Description,UseType
106,PLACE A 36' X 14' MODULAR BUILDING AND ERECT A 8FT HIGH CHAIN LINK FENCE TO AN EXISTING COMMERCIAL BUILDING. MODULAR BUILDING TO BE USED FOR COMMUNICATION BUILDING.  A SET OF STAMPED PLANS WITH REVIEW LETTER MUST BE KEPT ON THE JOB SITE AT ALL TIMES. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Commercial
107,ALTERATIONS TO 320 SF OF COMMERICAL BUILDING TO BE USED FOR LAB. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW MUST BE KEPT ON JOB SITE. TO MEET ALL APPLICABLE CODES.,Commercial
108,ALTERATION TO AN EXISTING DWELLING TO INCLUDE ADDING AN INTERIOR 5'X7' BATHROOM. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
109,"INSTALL UL LISTED LED CHANNEL LETTERS ON FACE OF COMMERCIAL BUILDING. SIGN SIZE 30""X126"". 30"" TOTAL HEIGHT. ILLUMINATED. UL NO. HR192866. TO MEET ALL APPLICABLE CODES.",Commercial
110,"ERECT A 16' X 12' ATTACHED PATIO COVER TO REAR OF EXISTING DWELLING TO BE SCREENED-IN. FRAMING, FINAL INSPECTION WILL BE REQUIRED. TO MEET ALL APPLICABLE CODES.",Residential
111,"ERECT A 16'X 32' SWIMMING POOL IN REAR OF EXISTING DWELLING. 44"" LOCKABLE FENCE IS REQUIRED AROUND THE POOL AREA. DIRT WILL BE DUMPED AT 134 REDLAND ROAD. NOT TO ENCROACH ON REAR EASTMENT. TO MEET ALL APPLICABLE CODES.",Residential
112,ERECT A 42.4’ X 73.25’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1832 SF (LIVING AREA); 488 SF (GARAGE); 171 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
113,"INSTALL UL LISTED LED CHANNEL LETTERS ON FACE OF COMMERCIAL BUILDING. SIGN SIZE 30""X126"". 30"" TOTAL HEIGHT. ILLUMINATED. UL NO. HR192866. TO MEET ALL APPLICABLE CODES.",Commercial
114,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. INTERIOR REMOLDING TO UPGRADE FACILITY TO BE USED FOR MEDICAL CLINIC. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
115,PLACE A 36' X 14' MODULAR BUILDING AND ERECT A 8FT HIGH CHAIN LINK FENCE TO AN EXISTING COMMERCIAL BUILDING. MODULAR BUILDING TO BE USED FOR COMMUNICATION BUILDING.  A SET OF STAMPED PLANS WITH REVIEW LETTER MUST BE KEPT ON THE JOB SITE AT ALL TIMES. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Commercial
116,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LICENSE TO BE USED AS A CLERICAL OFFICE.  TERESA CARTER  850-694-0371,Commercial
117,"INSTALL 36""X87"" WALL SIGN TO THE FACE OF AN EXISTING COMMERICAL BUILDING.  SIGN IS ILLUMINATED.  UL NUMBERS A46406337.  TO MEET ALL APPLICABLE CODES.",Commercial
118,CUT CURB TO CREATE DRIVEWAY FOR DWELLING.  TURN OUT INSPECTION WILL BE REQUIRED.  TO MEET ALL APPLICABLE CODES.,Residential
119,ALTERATION TO AN EXISTING DWELLING TO INCLUDE ADDING AN INTERIOR 5'X7' BATHROOM. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
120,OWNER APPLYING FOR LIQOUR LICENSE. CURRENTLY A CONVIENT STORE. MD ANWAR HOSSAIN; 334-333-8543,Commercial
121,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. INTERIOR REMOLDING TO UPGRADE FACILITY. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
122,"GENERAL REPAIR TO AN EXISTING DWELLING TO INCLUDE DECKING ON ROOF, SHEETROCK WORK, AND FLOORING.  TO MEET ALL APPLICABLE CODES.",Residential
123,"REPLACEMENT OF A 10'-7 3/8"" EXISTING WALL SIGN, REPLACEMENT OF A 8'-7 1/4"" X 24'-9 5/8"" PYLON SIGN, REPLACEMENT OF A 4'- 5 10/8"" X 5'-11"" WALL SIGN, REPLACEMENT OF AN EXISTING 4' 2 1/2""X 1'-10 11/16"" WALL SIGN, REPLACEMENT OF AN EXISTING 15'-5/8""X 2'- 1/2"" WALL SIGN, REPLACEMENT OF AN 16' - 6 1/2"" X 2' 1/4"" WALL SIGN FOR AN EXISTING PROPERTY.  TO MEET ALL APPLICABLE CODES.",Commercial
124,"REPLACEMENT OF A 10'-7 3/8"" EXISTING WALL SIGN, REPLACEMENT OF A 8'-7 1/4"" X 24'-9 5/8"" PYLON SIGN, REPLACEMENT OF A 4'- 5 10/8"" X 5'-11"" WALL SIGN, REPLACEMENT OF AN EXISTING 4' 2 1/2""X 1'-10 11/16"" WALL SIGN, REPLACEMENT OF AN EXISTING 15'-5/8""X 2'- 1/2"" WALL SIGN, REPLACEMENT OF AN 16' - 6 1/2"" X 2' 1/4"" WALL SIGN FOR AN EXISTING PROPERTY.  TO MEET ALL APPLICABLE CODES.",Commercial
125,REPLAEMENT OF WINDOWS TO AN EXSITING DWELLING.  BEDROOMS WINDOWS PER CODE.  TO MEET ALL APPLICABLE CODES.,Residential
126,BUS LIC/ CERT OF OCC FOR BIG JOHN'S DINER/ RESTAURANT/ 334-590-8833/ WAS USED AS RESTAURANT BEFORE   ***UNIT B***,Commercial
127,REPLACEMENT OF EXISTING WINDOWS TO AN EXISTING DWELLING.  MUST COMPLY WITH ALL BEDROOM WINDOWS CODES.  TO MEET ALL APPLICABLE CODES.,Residential
128,GENERAL REPAIRS TO EXISTING COMMERCIAL BUILDING TO BE USED FOR CONV STORE. MAINTAIN EXITS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
129,BUS LIC/CERT OF OCC FOR L & W SUPPLY/ WHOLESALE DISTRIBUTOR/ SANDRA HAYES  334-2727200 OR 608-368-2272/ SAME TYPE BUSINESS JUST NEW COMPANY.,Commercial
130,"ERECT A 119.5""X 60.25"" MONUMENT SIGN WITH TWO FACES. 5' TOTAL HEIGHT. FOOTING 10'X2'1/2"". FOOTING INSPECTION WILL BE REQUIRED.  INSTALL WALL SIGN ON FACE OF COMMERCIAL BUILDING. SIGN SIZE 706""X88"". 431.45 SF TOTAL. 38'10"" TOTAL HEIGHT. ILLUMINATED. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS ""NRTL"". TWO DIRECTIONAL SIGNS 46""X119"". TOTAL HEIGHT 9'11"". A46406341 OR A46406342. TO MEET ALL APPLICABLE CODES.",Commercial
131,ALTERATION TO AN EXISTING DWELLING TO INCLUDE ADDING AN INTERIOR 5'X7' BATHROOM. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
132,REPLACEMENT OF EXISTING WINDOWS TO AN EXISTING DWELLING.  MUST COMPLY WITH ALL BEDROOM WINDOWS CODES.  TO MEET ALL APPLICABLE CODES.,Residential
133,GENERAL REPAIRS TO REPLACE WINDOWS TO EXISTING COMMERCIAL BUILDING. TO MEET ALL APPLICABLE CODES.,Commercial
134,ERECT A 63’ X 53’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2299 SF (LIVING AREA-1ST FL); 716 SF (GARAGE); 371 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH/1 HALF BATH),Residential
135,ERECT A 56’ X 43’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1651 SF (LIVING AREA-1ST FL); 429.8 SF (GARAGE); 279.2 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
136,GENERAL REPAIRS TO REPLACE WINDOWS AT EXISTING DWELLING. BEDROOM WINDOWS TO COMPLY WITH ALL APPLICABLE CODES.,Residential
137,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. CUT 4’ OPENING AT WALL TO ADJACENT EXISTING SPACE. TO BE USED FOR STORAGE. MAINTAIN EXISTS DURING CONSTRUCTION (BY T.S.). ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES. HUI DENG WANG (334)833-2529,Commercial
138,"ERECT A 60'1"" X 48'4"" ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2494 SF TOTAL, 1706 SF LIVING AREA, GARAGE 383 SF, STORAGE 65 SF, PORCH 340 SF. PRE-FAB FIREPLACE PER CODES. BEDROOM WINDOWS, SMOKE DETECTORS PER CODES. SEPTIC TANK PERMIT ON FILE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. TO MEET ALL APPLICABLE CODES.",Residential
139,REMOVE EXISTING PYLON AND WALL SIGNS. REPLACE WITH ONE (1) NEW PYLON SIGNS/2 FACES AND ONE (1) NEW WALL SIGNS/8 FACES. ILLUMINATED SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS “NRTL”. WALL SIGN – 3’-3/4” x 13’-10 1/8”; PYLON SIGN-4’x10’. PROJECT TO MEET ALL APPLICABLE CODES.,Commercial
140,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
141,"ALTERATIONS TO A 6,324 SQ FT EXISTING COMMERCIAL BUILDING TO BE USED AS A DIALYSIS FACILITY.  A SET OF STAMPED PLANS WITH REVIEW LETTER MUST BE KEPT ON THE JOBSITE AT ALL TIMES. MUST COMPLY WITH STATE ENERGY CODE. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.",Commercial
142,INSTALL DOOR & PLATFORM IN CLASSROOM 2 AND TODDLER ROOM.  TO MEET ALL APPLICABLE CODES.,Commercial
143,LOCATE A 16'X 80' SINGLE WIDE MOBILE HOME FOR LIVING PURPOSES.  BOARD OF ADJ APPROVAL ON FILE. SEPTIC TANK ALREADY ON PROPERTY. TIE DOWN INSPECTION WILL BE REQUIRED.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DPTS.  TO MEET ALL APPLICABLE CODES.,Residential
144,INSPECT FOR LIQUOR LICENSE/CERTIFICATE OF OCCUPANCY; EXISTING BUILDING; THE BAR; GRAIG GREEN & KELLY GREEN  334-309-5435,Commercial
145,"INSTALL WALL SIGN ON FACE OF COMMERCIAL BUILDING (76'3"") AND PANEL REPLACEMENTS ON EXISTING PYLON SIGN. SIGN SIZE 50 SF AND 193.67 SF. 24"" AND 167"" TOTAL HEIGHT. ILLUMINATED. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS ""NRTL"". TO MEET ALL APPLICABLE CODES.",Commercial
146,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
147,ERECT AN 85.5’ X 68.67’ ONE AND ONE HALF STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 3141 SF (LIVING AREA-1ST FL); 461 SF (LIVING AREA-2ND FL); 600 SF (GARAGE); 291 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH),Residential
148,LOCATE A 68'X32' MOBILE HOME FOR LIVING PURPOSES.  BOARD OF ADJ APROVAL ON FILE.  TIE DOWN INSPECTION WILL BE REQUIRED. NOT IN THE FLOOD ZONE (FLOOD ELEVATION CERTIFICATE ON FILE. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPT.  TO MEET ALL APPLICALBE CODES.,Residential
149,GENERAL RENNOVATION TO AN EXISTING DWELLING.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPT. TO MEET ALL APPLICABLE CODES.,Residential
150,GENERAL REPAIRS TO REPLACE WINDOWS TO EXISTING COMMERCIAL BUILDING. TO MEET ALL APPLICABLE CODES.,Commercial
151,"TO INSTALL (1) 37.5”X37.5” WALL SIGN WITH (1) ONE FACE UL LISTED LED CABINET (INDIVIDUAL CHANNEL LETTER/LOGO); 9.77 TOTAL SQUARE FEET, 37.5” TOTAL HEIGHT; ILLUMINATED & UL# G-53071607; SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS “NRTL”. ALL APPLICABLE DEPARTMENT INSPECTON AS REQUIRED; TO MEET ALL APPLICABLE CODES.",Commercial
152,"ERECT A 50'X70'-6 1/2"" ONE STORY BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL SQ FT OF 2838, LIVING AREA 2214 SQ FT, GARAGE 438 SQ FT, OTHER 186 SQ FT.  BEDROOM WINDOWS, PRE-FAB FIREPLACE, AND SMOKE DETECTORS MUST COMPLY TO CODES.  MUST COMPLY WITH STATE ENERGY REPORT.  SAN FACILITY IS REQUIRED. MUST MAINTAIN 10' BETWEEN STRUCTURE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.(4 BEDROOMS/2 BATHS)",Residential
153,GRADING PERMIT TO ERECT A 69.4’ X 40’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1790 SF (LIVING AREA-1ST FL); 574 SF (LIVING AREA-2ND FL); 489 SF (GARAGE); 283 SF (OTHER). PROPERTY IS NOT IN A PRIORITY SITE. MUST COMPLY WITH CITY GUIDE LNES. TO MEET ALL APPLICABLE CODES.,Residential
154,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING TO INSTALL REPLACEMENT WINDOWS. BEDROOM WINDOWS PER CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
155,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. TO COMPLETE TENANT BUILDOUT. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPTED ON JOB SITE AT ALL TIMES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. SHALL MEET ALL APPLICABLE CODES.,Commercial
156,TO INSTALL A NEW DOUBLE WIDE MODULAR/MANUFACTURER HOME. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
157,CERTIFICATE OF OCCUPANCY FOR A BUS LIC TO BE USED FOR APTMENTS WITH 332 UNTS.  POINT OF CONTACT LAQUINTA KING 334-239-7783.,Commercial
158,"INSTALL WALL SIGN ON FACE OF COMMERCIAL BUILDING (76'3"") AND PANEL REPLACEMENTS ON EXISTING PYLON SIGN. SIGN SIZE 50 SF AND 193.67 SF. 24"" AND 167"" TOTAL HEIGHT. ILLUMINATED. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS ""NRTL"". TO MEET ALL APPLICABLE CODES.",Commercial
159,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
160,"GRADING PERMIT TO ERECT A 41'2""X67' TWO STORY BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL SQ FT OF 3261 WITH A LIVING AREA OF 1492 SQ FT, SECOND FLOOR 986 SQ FT, GARAGE 565 SQ FT, AND OTHER 218 SQ FT.  BEDROOM WINDOWS PER CODES.  PROPERTY IS NOT IN A PRIORITY CONSTRUCTION SITE. NPDES PERMIT NO. ALR107334. TO MEET ALL APPLICBLE CODES.",Residential
161,GRADING PERMIT TO ERECT A 68.6’ X 40’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1674 SF (LIVING AREA-1ST FL); 471 SF (GARAGE); 178 SF (OTHER). PROPERTY IS NOT IN A PRIORITY SITE. MUST COMPLY WITH CITY GUIDE LNES. TO MEET ALL APPLICABLE CODES.,Residential
162,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
163,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING TO INSTALL REPLACEMENT WINDOWS. BEDROOM WINDOWS PER CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
164,"ERECT A 50'X30' DETACHED STEELE STORAGE SHED TO THE REAR OF AN EXISTING DWELLING.  BOARD OF ADJUSTMENT ON FILE FOR THE APPROVAL OF 2,292 SQ FT YARD COVERAGE OF ACCESSORY STRUCTURES.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.",Residential
165,ALTERATIONS TO (5) EXISTING ADA ROOMS AS PER PLANS AND SPECIFICATIONS OF A COMMERCIAL BUILDING (HOTEL).A SET OF STAMPED PLANS MUST BE KEPT ON THE JOBSITE AT ALL TIMES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. MAINTAIN EXISTS DURING CONSTRUCTION TO MEET APPLICABLE CODES.,Commercial
166,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOW PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
167,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
168,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LICENSE TO BE USED AS A BUSINESS OFFICE.,Commercial
169,REPAIRS MADE TO EXISTING DWELLING DAMAGED BY FIRE.,Residential
170,ERECT A 74’ X 50’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2244 SF (LIVING AREA-1ST FL); 318 SF (LIVING AREA-2ND FL); 480 SF (GARAGE); 186 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/2 BATH),Residential
171,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
172,"ERECT A 50' X 70'4"" ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2420 SF TOTAL, 1835 SF LIVING AREA, GARAGE 438 SF, OTHER 147 SF. PRE-FAB FIREPLACE PER CODES. BEDROOM WINDOWS, SMOKE DETECTORS PER CODES. MAINTAIN 10' BETWEEN STRUCTURES. MUST COMPLY WITH STATE ENERGY CODE. SAN FAC REQ PER IBC. TO MEET ALL APPLICABLE CODES. (3BR/2BATHS)",Residential
173,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
174,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING TO INSTALL REPLACEMENT WINDOWS. BEDROOM WINDOWS PER CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
175,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
176,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
177,ERECT AN 81’ X 44’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2100 SF (LIVING AREA-1ST FL); 463 SF (GARAGE); 184 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
178,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
179,DEMOLISH A DWELLING TO CLEAR LOT.  HEALTH DEPT APPROVAL ON FILE.  WATER WORKS 128499 APPROVAL ON FILE.  BOND 427714 ON FILE.  ASBESTOS 10 DAY NOTICE ON FILE.  THIS PERMIT IS GOOD FOR 60 DAYS.  BUILDING INSPECTION IS NEEDED FOR COMPLETION.  TO MEET ALL APPLICABLE CODES.,Residential
180,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
181,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LIC TO BE USED FOR HOME MEDICAL EQUIPMENT.  POINT OF CONTACT MICHAEL WAITES 358-7500,Commercial
182,"CERT OF OCC/ BUS LIC INSP FOR BMB PROPERTY MANAGEMENT LLC/ BLAKE LAWLEY, MICHAEL ATKINS/BRANDON HARRIS 334-495-4000 OR 334-303-2379/ WAS OFFICE BEFORE",Commercial
183,"ERECT A 50'X30' DETACHED STEELE STORAGE SHED TO THE REAR OF AN EXISTING DWELLING.  BOARD OF ADJUSTMENT ON FILE FOR THE APPROVAL OF 2,292 SQ FT YARD COVERAGE OF ACCESSORY STRUCTURES.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.",Residential
184,"INSTALL A 16'X36' SWIMMING POOL WITH A DEPTH OF 3' TO 6' TO THE REAR OF AN EXISTING DWELLING.  A 44"" FENCE IS REQIRED AROUND AREA WITH  A LOCKABLE GATE.  DIRT WILL BE DUMP AT  3075 HILL ST AND 10442 US-80.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.",Residential
185,ALTERATION TO AN EXISTING COMMERCIAL BUILDING FOR THE PURPOSE OF RETAIL.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  A SET OF PLANS WITH REVIEW LETTER MUST BE KEPT ON THE JOB SITE AT ALL TIMES.  TO MEET ALL APPLICABLE CODES.,Commercial
186,TO INSTALL (1) 49 SF ILLUMINATED CHANNEL LETTER WALL SIGN WITH (1) ONE FACE. 36” TOTAL HEIGHT; 49 TOTAL SQUARE FEET; SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS “NRTL”. ALL APPLICABLE DEPARTMENT INSPECTON AS REQUIRED; TO MEET ALL APPLICABLE CODES.,Commercial
187,"GRADING PERMIT TO ERECT A 45'-6""X 38'-8"" ONE STORY BRICK VENEER SINGLE FAMILY DWELLING WITH 1564 SQ FT LIVING AREA, AND 16 SQ FT OTHER.  BEDROOM WINDOWS, SMOKE DETECTORS, FIREPLACE MUST COMPLY TO CODES. PROPERTY IS NOT IN A PRIORITY CONSTRUCTION SITE. TO MEET ALL APPLICABLE CODES.",Residential
188,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
189,"ERECT A 28' X 80'5"" TWO STORY BRICK VENEER SINGLE FAMILY WITH 3150 SF TOTAL, 1466 SF 1ST FL, 1177 SF 2ND FL, GARAGE 481 SF, OTHER 26 SF. BEDROOM WINDOWS, SMOKE DETECTORS, STAIRS PER CODES. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. TO MEET ALL APPLICABLE CODES.  (4BR/3 1/2 BATHS)",Residential
190,CERT OF OCC/BUS LIC INSP FOR A G REALTY LLC/ BRANDON HARIS & MICHAEL W. ATHINS  (334) 495-4000 OR 334-224-1226/ OFFICE WAS LOECATED THERE BEFORE,Commercial
191,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. CUT 4’ OPENING AT WALL TO ADJACENT EXISTING SPACE. TO BE USED FOR STORAGE. MAINTAIN EXISTS DURING CONSTRUCTION (BY T.S.). ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES. HUI DENG WANG (334)833-2529,Commercial
192,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
193,INSPECT FOR CERTIFICATE OF OCCUPANCY PER OFFICE SPACE IN AN EXISTING BLDG. MURPHY FAMILY RESTAURANTS (334)347-1295  JANICE KIRKLAND.,Commercial
194,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LICENSE TO BE USED AS AN ART CLASS.  MARIO LANE  440-5900,Commercial
195,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
196,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
197,DEMOLISH AN EXISTING DWELLING TO CLEAR LOT. HEALTH DEPT APPROVAL ON FILE. WATER WORKS #154053 ON FLIE. BOND RECIEPT #427712 ON FILE. PERMIT IS GOOD FOR (30) THIRTY DAYS. BUILDING FINAL INSPECTION IS REQUIRED. TO MEET ALL APPLICABLE CODES.,Residential
198,RENNOVATION OF AN EXISTING DWELLING DUE TO FIRE DAMAGE. REPLACEMENT OF EXTERIOR WINDOW PER CODE. TRUE DIVIDED LITE WINDOW TO MATCH EXISTING PER HISTORIC REP CHRISTY ANDERSON.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
199,INSPECT FOR CERTIFICATE OF OCCUPANCY FOR A MESSAGE THERAPIST BUSINESS (EAST END OF EASTDALE MALL) HAIYING LIU (334)590-4468,Commercial
200,"GRADING PERMIT TO  ERECT A 28' X 80'5"" TWO STORY BRICK VENEER SINGLE FAMILY WITH 3150 SF TOTAL, 1466 SF 1ST FL, 1177 SF 2ND FL, GARAGE 481 SF, OTHER 26 SF. PROPERTY IS NOT IN A PRIORITY CONSTRUCTION SITE. NPDES PERMIT NO. AL12109831. TO MEET ALL APPLICABLE CODES.",Residential
201,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING TO INSTALL REPLACEMENT WINDOWS. BEDROOM WINDOWS PER CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
202,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LICENSE TO BE USED AS A BUSINESS OFFICE.,Commercial
